elapsed_s,event,body_x,body_y,dist,tags_used
8.988,lost,,,,
9.060,lost,,,,
9.077,lost,,,,
9.092,lost,,,,
9.109,lost,,,,
9.131,lost,,,,
9.145,lost,,,,
9.160,lost,,,,
9.176,lost,,,,
9.191,lost,,,,
9.205,lost,,,,
9.219,lost,,,,
9.234,lost,,,,
9.246,lost,,,,
9.258,lost,,,,
9.272,lost,,,,
9.288,lost,,,,
9.299,lost,,,,
9.312,lost,,,,
9.325,lost,,,,
9.338,lost,,,,
9.351,lost,,,,
9.364,lost,,,,
9.379,lost,,,,
9.391,lost,,,,
9.403,lost,,,,
9.416,lost,,,,
9.431,lost,,,,
9.445,lost,,,,
9.458,lost,,,,
9.470,lost,,,,
9.484,lost,,,,
9.498,lost,,,,
9.511,lost,,,,
9.527,lost,,,,
9.539,lost,,,,
9.552,lost,,,,
9.565,lost,,,,
9.580,lost,,,,
9.591,lost,,,,
9.603,lost,,,,
9.617,lost,,,,
9.633,lost,,,,
9.646,lost,,,,
9.659,lost,,,,
9.671,lost,,,,
9.685,lost,,,,
9.699,lost,,,,
9.714,lost,,,,
9.729,lost,,,,
9.743,lost,,,,
9.755,lost,,,,
9.768,lost,,,,
9.780,lost,,,,
9.794,lost,,,,
9.809,lost,,,,
9.822,lost,,,,
9.835,lost,,,,
9.853,lost,,,,
9.865,lost,,,,
9.879,lost,,,,
9.892,lost,,,,
9.905,lost,,,,
9.917,lost,,,,
9.928,lost,,,,
9.940,lost,,,,
9.954,lost,,,,
9.971,lost,,,,
9.985,lost,,,,
9.998,lost,,,,
10.013,lost,,,,
10.026,lost,,,,
10.038,lost,,,,
10.051,lost,,,,
10.067,lost,,,,
10.080,lost,,,,
10.093,lost,,,,
10.107,lost,,,,
10.124,lost,,,,
10.139,lost,,,,
10.152,lost,,,,
10.168,lost,,,,
10.183,lost,,,,
10.196,lost,,,,
10.208,lost,,,,
10.223,lost,,,,
10.238,lost,,,,
10.252,lost,,,,
10.263,lost,,,,
10.277,lost,,,,
10.288,lost,,,,
10.299,lost,,,,
10.311,lost,,,,
10.324,lost,,,,
10.339,lost,,,,
10.352,lost,,,,
10.365,lost,,,,
10.377,lost,,,,
10.391,lost,,,,
10.404,lost,,,,
10.417,lost,,,,
10.428,lost,,,,
10.440,lost,,,,
10.455,lost,,,,
10.469,lost,,,,
10.484,lost,,,,
10.498,lost,,,,
10.510,lost,,,,
10.523,lost,,,,
10.536,lost,,,,
10.550,lost,,,,
10.562,lost,,,,
10.575,lost,,,,
10.588,lost,,,,
10.602,lost,,,,
10.613,lost,,,,
10.624,lost,,,,
10.638,lost,,,,
10.654,lost,,,,
10.667,lost,,,,
10.679,lost,,,,
10.692,lost,,,,
10.706,lost,,,,
10.720,lost,,,,
10.732,lost,,,,
10.744,lost,,,,
10.758,lost,,,,
10.773,lost,,,,
10.786,lost,,,,
10.799,lost,,,,
10.812,lost,,,,
10.823,lost,,,,
10.837,lost,,,,
10.856,lost,,,,
10.878,lost,,,,
10.891,lost,,,,
10.905,lost,,,,
10.920,lost,,,,
10.933,lost,,,,
10.946,lost,,,,
10.960,lost,,,,
10.973,lost,,,,
10.987,lost,,,,
11.002,lost,,,,
11.016,lost,,,,
11.028,lost,,,,
11.041,lost,,,,
11.057,lost,,,,
11.070,lost,,,,
11.084,lost,,,,
11.099,lost,,,,
11.113,lost,,,,
11.124,lost,,,,
11.137,lost,,,,
11.150,lost,,,,
11.164,lost,,,,
11.175,lost,,,,
11.187,lost,,,,
11.200,lost,,,,
11.213,lost,,,,
11.225,lost,,,,
11.237,lost,,,,
11.250,lost,,,,
11.262,lost,,,,
11.273,lost,,,,
11.285,lost,,,,
11.298,lost,,,,
11.312,lost,,,,
11.324,lost,,,,
11.336,lost,,,,
11.350,lost,,,,
11.363,lost,,,,
11.375,lost,,,,
11.386,lost,,,,
11.398,lost,,,,
11.409,lost,,,,
11.423,lost,,,,
11.439,lost,,,,
11.452,lost,,,,
11.466,lost,,,,
11.478,lost,,,,
11.489,lost,,,,
11.503,lost,,,,
11.517,lost,,,,
11.531,lost,,,,
11.542,lost,,,,
11.556,lost,,,,
11.571,lost,,,,
11.583,lost,,,,
11.594,lost,,,,
11.606,lost,,,,
11.628,lost,,,,
11.640,lost,,,,
11.653,lost,,,,
11.666,lost,,,,
11.679,lost,,,,
11.689,lost,,,,
11.702,lost,,,,
11.717,lost,,,,
11.732,lost,,,,
11.745,lost,,,,
11.758,lost,,,,
11.770,lost,,,,
11.783,lost,,,,
11.796,lost,,,,
11.808,lost,,,,
11.821,lost,,,,
11.836,lost,,,,
11.848,lost,,,,
11.861,lost,,,,
11.874,lost,,,,
11.888,lost,,,,
11.900,lost,,,,
11.912,lost,,,,
11.924,lost,,,,
11.938,lost,,,,
11.950,lost,,,,
11.962,lost,,,,
11.973,lost,,,,
11.986,lost,,,,
12.001,lost,,,,
12.012,lost,,,,
12.024,lost,,,,
12.036,lost,,,,
12.051,lost,,,,
12.066,lost,,,,
12.079,lost,,,,
12.092,lost,,,,
12.103,lost,,,,
12.115,lost,,,,
12.126,lost,,,,
12.138,lost,,,,
12.151,lost,,,,
12.164,lost,,,,
12.175,lost,,,,
12.189,lost,,,,
12.201,lost,,,,
12.213,lost,,,,
12.224,lost,,,,
12.237,lost,,,,
12.250,lost,,,,
12.262,lost,,,,
12.273,lost,,,,
12.285,lost,,,,
12.299,lost,,,,
12.312,lost,,,,
12.324,lost,,,,
12.337,lost,,,,
12.352,lost,,,,
12.365,lost,,,,
12.376,lost,,,,
12.389,lost,,,,
12.405,lost,,,,
12.416,lost,,,,
12.428,lost,,,,
12.442,lost,,,,
12.454,lost,,,,
12.467,lost,,,,
12.479,lost,,,,
12.491,lost,,,,
12.506,lost,,,,
12.518,lost,,,,
12.531,lost,,,,
12.543,lost,,,,
12.555,lost,,,,
12.569,lost,,,,
12.582,lost,,,,
12.593,lost,,,,
12.604,lost,,,,
12.619,lost,,,,
12.631,lost,,,,
12.642,lost,,,,
12.654,lost,,,,
12.666,lost,,,,
12.679,lost,,,,
12.690,lost,,,,
12.703,lost,,,,
12.717,lost,,,,
12.729,lost,,,,
12.740,lost,,,,
12.752,lost,,,,
12.766,lost,,,,
12.778,lost,,,,
12.789,lost,,,,
12.802,lost,,,,
12.815,lost,,,,
12.828,lost,,,,
12.839,lost,,,,
12.851,lost,,,,
12.865,lost,,,,
12.881,lost,,,,
12.892,lost,,,,
12.904,lost,,,,
12.916,lost,,,,
12.931,lost,,,,
12.943,lost,,,,
12.955,lost,,,,
12.968,lost,,,,
12.983,lost,,,,
12.995,lost,,,,
13.006,lost,,,,
13.017,lost,,,,
13.031,lost,,,,
13.045,lost,,,,
13.057,lost,,,,
13.070,lost,,,,
13.086,lost,,,,
13.100,lost,,,,
13.113,lost,,,,
13.127,lost,,,,
13.139,lost,,,,
13.151,lost,,,,
13.164,lost,,,,
13.178,lost,,,,
13.191,lost,,,,
13.204,lost,,,,
13.217,lost,,,,
13.231,lost,,,,
13.244,lost,,,,
13.256,lost,,,,
13.267,lost,,,,
13.282,lost,,,,
13.296,lost,,,,
13.306,lost,,,,
13.318,lost,,,,
13.331,lost,,,,
13.345,lost,,,,
13.358,lost,,,,
13.371,lost,,,,
13.385,lost,,,,
13.399,lost,,,,
13.412,lost,,,,
13.424,lost,,,,
13.437,lost,,,,
13.451,lost,,,,
13.463,lost,,,,
13.475,lost,,,,
13.487,lost,,,,
13.502,lost,,,,
13.516,lost,,,,
13.528,lost,,,,
13.540,lost,,,,
13.555,lost,,,,
13.568,lost,,,,
13.581,lost,,,,
13.593,lost,,,,
13.606,lost,,,,
13.619,lost,,,,
13.634,lost,,,,
13.649,lost,,,,
13.661,lost,,,,
13.672,lost,,,,
13.685,lost,,,,
13.699,lost,,,,
13.712,lost,,,,
13.722,lost,,,,
13.735,lost,,,,
13.749,lost,,,,
13.762,lost,,,,
13.774,lost,,,,
13.786,lost,,,,
13.799,lost,,,,
13.812,lost,,,,
13.822,lost,,,,
13.834,lost,,,,
13.849,lost,,,,
13.862,lost,,,,
13.873,lost,,,,
13.886,lost,,,,
13.899,lost,,,,
13.912,lost,,,,
13.924,lost,,,,
