elapsed_s,event,body_x,body_y,dist,tags_used
16.665,lost,,,,
16.676,lost,,,,
16.688,lost,,,,
16.702,lost,,,,
16.713,lost,,,,
16.725,lost,,,,
16.736,lost,,,,
16.752,lost,,,,
16.766,lost,,,,
16.776,lost,,,,
16.786,lost,,,,
16.798,lost,,,,
16.812,lost,,,,
16.825,lost,,,,
16.839,lost,,,,
16.851,lost,,,,
16.865,lost,,,,
16.876,lost,,,,
16.889,lost,,,,
16.903,lost,,,,
16.918,lost,,,,
16.929,lost,,,,
16.939,lost,,,,
16.951,lost,,,,
16.964,lost,,,,
16.976,lost,,,,
16.990,lost,,,,
17.001,lost,,,,
17.015,lost,,,,
17.028,lost,,,,
17.042,lost,,,,
17.056,lost,,,,
17.068,lost,,,,
17.081,lost,,,,
17.094,lost,,,,
17.105,lost,,,,
17.118,lost,,,,
17.131,lost,,,,
17.142,lost,,,,
17.154,lost,,,,
17.166,lost,,,,
17.182,lost,,,,
17.194,lost,,,,
17.205,lost,,,,
17.217,lost,,,,
17.227,lost,,,,
17.238,lost,,,,
17.253,lost,,,,
17.269,lost,,,,
17.281,lost,,,,
17.294,lost,,,,
17.306,lost,,,,
17.318,lost,,,,
17.331,lost,,,,
17.345,lost,,,,
17.356,lost,,,,
17.369,lost,,,,
17.381,lost,,,,
17.394,lost,,,,
17.407,lost,,,,
17.420,lost,,,,
17.432,lost,,,,
17.445,lost,,,,
17.460,lost,,,,
17.473,lost,,,,
17.484,lost,,,,
17.497,lost,,,,
17.510,lost,,,,
17.523,lost,,,,
17.534,lost,,,,
17.546,lost,,,,
17.558,lost,,,,
17.571,lost,,,,
17.583,lost,,,,
17.594,lost,,,,
17.607,lost,,,,
17.619,lost,,,,
17.632,lost,,,,
17.646,lost,,,,
17.660,lost,,,,
17.673,lost,,,,
17.684,lost,,,,
17.696,lost,,,,
17.708,lost,,,,
17.722,lost,,,,
17.735,lost,,,,
17.747,lost,,,,
17.760,lost,,,,
17.774,lost,,,,
17.787,lost,,,,
17.799,lost,,,,
17.812,lost,,,,
17.827,lost,,,,
17.838,lost,,,,
17.851,lost,,,,
17.865,lost,,,,
17.880,lost,,,,
17.893,lost,,,,
17.905,lost,,,,
17.918,lost,,,,
17.931,lost,,,,
17.943,lost,,,,
17.955,lost,,,,
17.968,lost,,,,
17.979,lost,,,,
17.991,lost,,,,
18.003,lost,,,,
18.015,lost,,,,
18.027,lost,,,,
18.039,lost,,,,
18.052,lost,,,,
18.063,lost,,,,
18.076,lost,,,,
18.087,lost,,,,
18.099,lost,,,,
18.112,lost,,,,
18.125,lost,,,,
18.138,lost,,,,
18.150,lost,,,,
18.163,lost,,,,
18.177,lost,,,,
18.191,lost,,,,
18.202,lost,,,,
18.214,lost,,,,
18.226,lost,,,,
18.239,lost,,,,
18.253,lost,,,,
18.265,lost,,,,
18.276,lost,,,,
18.287,lost,,,,
18.301,lost,,,,
18.314,lost,,,,
18.325,lost,,,,
18.338,lost,,,,
18.352,lost,,,,
18.363,lost,,,,
18.374,lost,,,,
18.388,lost,,,,
18.403,lost,,,,
18.415,lost,,,,
18.426,lost,,,,
18.439,lost,,,,
18.455,lost,,,,
18.466,lost,,,,
18.478,lost,,,,
18.490,lost,,,,
18.505,lost,,,,
18.519,lost,,,,
18.529,lost,,,,
18.542,lost,,,,
18.555,lost,,,,
18.568,lost,,,,
18.579,lost,,,,
18.592,lost,,,,
18.607,lost,,,,
18.620,lost,,,,
18.633,lost,,,,
18.646,lost,,,,
18.658,lost,,,,
18.671,lost,,,,
18.684,lost,,,,
18.698,lost,,,,
18.711,lost,,,,
18.723,lost,,,,
18.735,lost,,,,
18.750,lost,,,,
18.765,lost,,,,
18.776,lost,,,,
18.788,lost,,,,
18.801,lost,,,,
18.815,lost,,,,
18.827,lost,,,,
18.838,lost,,,,
18.852,lost,,,,
18.866,lost,,,,
18.877,lost,,,,
18.889,lost,,,,
18.902,lost,,,,
18.916,lost,,,,
18.927,lost,,,,
18.938,lost,,,,
18.950,lost,,,,
18.962,lost,,,,
18.974,lost,,,,
18.986,lost,,,,
18.998,lost,,,,
19.011,lost,,,,
19.023,lost,,,,
19.035,lost,,,,
19.046,lost,,,,
19.058,lost,,,,
19.072,lost,,,,
19.085,lost,,,,
19.097,lost,,,,
19.112,lost,,,,
19.123,lost,,,,
19.134,lost,,,,
19.148,lost,,,,
19.163,lost,,,,
19.176,lost,,,,
19.191,lost,,,,
19.203,lost,,,,
19.216,lost,,,,
19.230,lost,,,,
19.241,lost,,,,
19.253,lost,,,,
19.265,lost,,,,
19.278,lost,,,,
19.291,lost,,,,
19.301,lost,,,,
19.314,lost,,,,
19.325,lost,,,,
19.338,lost,,,,
19.351,lost,,,,
19.364,lost,,,,
19.376,lost,,,,
19.389,lost,,,,
19.403,lost,,,,
19.415,lost,,,,
19.428,lost,,,,
19.441,lost,,,,
19.455,lost,,,,
19.466,lost,,,,
19.477,lost,,,,
19.489,lost,,,,
19.503,lost,,,,
19.515,lost,,,,
19.527,lost,,,,
19.541,lost,,,,
19.555,lost,,,,
19.568,lost,,,,
19.579,lost,,,,
19.592,lost,,,,
19.605,lost,,,,
19.618,lost,,,,
19.630,lost,,,,
19.643,lost,,,,
19.656,lost,,,,
19.669,lost,,,,
19.681,lost,,,,
19.695,lost,,,,
19.707,lost,,,,
19.720,lost,,,,
19.733,lost,,,,
19.749,lost,,,,
19.760,lost,,,,
19.773,lost,,,,
19.785,lost,,,,
19.800,lost,,,,
19.812,lost,,,,
19.824,lost,,,,
19.836,lost,,,,
19.848,lost,,,,
19.860,lost,,,,
19.874,lost,,,,
19.887,lost,,,,
19.901,lost,,,,
19.915,lost,,,,
19.927,lost,,,,
19.939,lost,,,,
19.951,lost,,,,
19.964,lost,,,,
19.978,lost,,,,
19.990,lost,,,,
20.002,lost,,,,
20.017,lost,,,,
20.031,lost,,,,
20.043,lost,,,,
20.055,lost,,,,
20.068,lost,,,,
20.083,lost,,,,
20.094,lost,,,,
20.106,lost,,,,
20.118,lost,,,,
20.129,lost,,,,
20.143,lost,,,,
20.157,lost,,,,
20.169,lost,,,,
20.184,lost,,,,
20.197,lost,,,,
20.209,lost,,,,
20.221,lost,,,,
20.235,lost,,,,
20.248,lost,,,,
20.260,lost,,,,
20.272,lost,,,,
20.283,lost,,,,
20.296,lost,,,,
20.308,lost,,,,
20.319,lost,,,,
20.333,lost,,,,
20.345,lost,,,,
20.357,lost,,,,
20.369,lost,,,,
20.383,lost,,,,
20.397,lost,,,,
20.409,lost,,,,
20.420,lost,,,,
20.433,lost,,,,
20.445,lost,,,,
20.457,lost,,,,
20.468,lost,,,,
20.480,lost,,,,
20.493,lost,,,,
20.506,lost,,,,
20.518,lost,,,,
20.531,lost,,,,
20.544,lost,,,,
20.558,lost,,,,
20.569,lost,,,,
20.582,lost,,,,
20.594,lost,,,,
20.607,lost,,,,
20.619,lost,,,,
20.630,lost,,,,
20.643,lost,,,,
20.656,lost,,,,
20.669,lost,,,,
20.680,lost,,,,
20.691,lost,,,,
20.704,lost,,,,
20.718,lost,,,,
20.731,lost,,,,
20.743,lost,,,,
20.756,lost,,,,
20.771,lost,,,,
20.785,lost,,,,
20.798,lost,,,,
20.811,lost,,,,
20.825,lost,,,,
20.838,lost,,,,
20.850,lost,,,,
20.863,lost,,,,
20.876,lost,,,,
20.889,lost,,,,
20.902,lost,,,,
20.917,lost,,,,
20.929,lost,,,,
20.940,lost,,,,
20.952,lost,,,,
20.967,lost,,,,
20.980,lost,,,,
20.993,lost,,,,
21.006,lost,,,,
21.020,lost,,,,
21.032,lost,,,,
21.044,lost,,,,
21.056,lost,,,,
21.070,lost,,,,
21.084,lost,,,,
21.098,lost,,,,
21.109,lost,,,,
21.123,lost,,,,
21.137,lost,,,,
21.150,lost,,,,
21.163,lost,,,,
21.177,lost,,,,
21.191,lost,,,,
21.204,lost,,,,
21.216,lost,,,,
21.230,lost,,,,
21.243,lost,,,,
21.254,lost,,,,
21.264,lost,,,,
21.276,lost,,,,
21.292,lost,,,,
21.305,lost,,,,
21.318,lost,,,,
21.329,lost,,,,
21.340,lost,,,,
21.355,lost,,,,
21.368,lost,,,,
21.380,lost,,,,
21.393,lost,,,,
21.407,lost,,,,
21.419,lost,,,,
21.431,lost,,,,
21.443,lost,,,,
21.456,lost,,,,
21.469,lost,,,,
21.481,lost,,,,
21.493,lost,,,,
21.508,lost,,,,
21.520,lost,,,,
21.531,lost,,,,
21.543,lost,,,,
21.553,lost,,,,
21.565,lost,,,,
21.579,lost,,,,
21.592,lost,,,,
21.605,lost,,,,
21.618,lost,,,,
21.630,lost,,,,
21.643,lost,,,,
21.655,lost,,,,
21.669,lost,,,,
21.684,lost,,,,
21.694,lost,,,,
21.706,lost,,,,
21.721,lost,,,,
21.734,lost,,,,
21.747,lost,,,,
21.759,lost,,,,
21.774,lost,,,,
21.787,lost,,,,
21.801,lost,,,,
21.815,lost,,,,
21.828,lost,,,,
21.840,lost,,,,
21.851,lost,,,,
21.864,lost,,,,
21.878,lost,,,,
21.891,lost,,,,
21.903,lost,,,,
21.916,lost,,,,
21.928,lost,,,,
21.941,lost,,,,
21.953,lost,,,,
21.966,lost,,,,
21.978,lost,,,,
21.990,lost,,,,
22.002,lost,,,,
22.015,lost,,,,
22.028,lost,,,,
22.040,lost,,,,
22.052,lost,,,,
22.062,lost,,,,
22.074,lost,,,,
22.087,lost,,,,
22.103,lost,,,,
22.116,lost,,,,
22.132,lost,,,,
22.143,lost,,,,
22.156,lost,,,,
22.167,lost,,,,
22.180,lost,,,,
22.193,lost,,,,
22.205,lost,,,,
22.217,lost,,,,
22.228,lost,,,,
22.238,lost,,,,
22.252,lost,,,,
22.266,lost,,,,
22.278,lost,,,,
22.290,lost,,,,
22.304,lost,,,,
22.317,lost,,,,
22.328,lost,,,,
22.339,lost,,,,
22.353,lost,,,,
22.365,lost,,,,
22.376,lost,,,,
22.390,lost,,,,
22.405,lost,,,,
22.417,lost,,,,
22.429,lost,,,,
22.444,lost,,,,
22.457,lost,,,,
22.469,lost,,,,
22.481,lost,,,,
22.494,lost,,,,
22.507,lost,,,,
22.518,lost,,,,
22.532,lost,,,,
22.544,lost,,,,
22.556,lost,,,,
22.571,lost,,,,
22.583,lost,,,,
22.595,lost,,,,
22.610,lost,,,,
22.623,lost,,,,
22.635,lost,,,,
22.646,lost,,,,
22.659,lost,,,,
22.673,lost,,,,
22.686,lost,,,,
22.698,lost,,,,
22.710,lost,,,,
22.723,lost,,,,
22.735,lost,,,,
22.745,lost,,,,
22.757,lost,,,,
22.770,lost,,,,
22.784,lost,,,,
22.798,lost,,,,
22.810,lost,,,,
22.822,lost,,,,
22.837,lost,,,,
22.848,lost,,,,
22.859,lost,,,,
22.873,lost,,,,
22.885,lost,,,,
22.898,lost,,,,
22.909,lost,,,,
22.922,lost,,,,
22.935,lost,,,,
22.948,lost,,,,
22.960,lost,,,,
22.971,lost,,,,
22.984,lost,,,,
22.998,lost,,,,
23.011,lost,,,,
23.023,lost,,,,
23.035,lost,,,,
23.048,lost,,,,
23.061,lost,,,,
23.073,lost,,,,
23.087,lost,,,,
23.101,lost,,,,
23.114,lost,,,,
23.126,lost,,,,
23.140,lost,,,,
23.154,lost,,,,
23.167,lost,,,,
23.180,lost,,,,
23.193,lost,,,,
