elapsed_s,event,body_x,body_y,dist,tags_used
2.489,lost,,,,
2.533,lost,,,,
2.550,lost,,,,
2.566,lost,,,,
2.580,lost,,,,
2.596,lost,,,,
2.608,lost,,,,
2.618,lost,,,,
2.633,lost,,,,
2.647,lost,,,,
2.660,lost,,,,
2.671,lost,,,,
2.684,lost,,,,
2.698,lost,,,,
2.711,lost,,,,
2.723,lost,,,,
2.737,lost,,,,
2.749,lost,,,,
2.762,lost,,,,
2.774,lost,,,,
2.786,lost,,,,
2.800,lost,,,,
2.812,lost,,,,
2.825,lost,,,,
2.838,lost,,,,
2.851,lost,,,,
2.862,lost,,,,
2.874,lost,,,,
2.886,lost,,,,
2.899,lost,,,,
2.912,lost,,,,
2.924,lost,,,,
2.937,lost,,,,
2.949,lost,,,,
2.961,lost,,,,
2.972,lost,,,,
2.985,lost,,,,
2.998,lost,,,,
3.011,lost,,,,
3.022,lost,,,,
3.036,lost,,,,
3.048,lost,,,,
3.060,lost,,,,
3.072,lost,,,,
3.088,lost,,,,
3.101,lost,,,,
3.114,lost,,,,
3.127,lost,,,,
3.140,lost,,,,
3.152,lost,,,,
3.163,lost,,,,
3.175,lost,,,,
3.190,lost,,,,
3.204,lost,,,,
3.218,lost,,,,
3.235,lost,,,,
3.250,lost,,,,
3.266,lost,,,,
3.280,lost,,,,
3.296,lost,,,,
3.308,lost,,,,
3.319,lost,,,,
3.334,lost,,,,
3.349,lost,,,,
3.364,lost,,,,
3.378,lost,,,,
3.389,lost,,,,
3.402,lost,,,,
3.417,lost,,,,
3.430,lost,,,,
3.443,lost,,,,
3.456,lost,,,,
3.469,lost,,,,
3.482,lost,,,,
3.494,lost,,,,
3.508,lost,,,,
3.522,lost,,,,
3.534,lost,,,,
3.547,lost,,,,
3.563,lost,,,,
3.577,lost,,,,
3.590,lost,,,,
3.602,lost,,,,
3.617,lost,,,,
3.630,lost,,,,
3.643,lost,,,,
3.658,lost,,,,
3.672,lost,,,,
3.686,lost,,,,
3.700,lost,,,,
3.715,lost,,,,
3.727,lost,,,,
3.741,lost,,,,
3.757,lost,,,,
3.768,lost,,,,
3.780,lost,,,,
3.795,lost,,,,
3.808,lost,,,,
3.820,lost,,,,
3.833,lost,,,,
3.847,lost,,,,
3.861,lost,,,,
3.874,lost,,,,
3.887,lost,,,,
3.901,lost,,,,
3.914,lost,,,,
3.927,lost,,,,
3.942,lost,,,,
3.955,lost,,,,
3.967,lost,,,,
3.981,lost,,,,
3.996,lost,,,,
4.010,lost,,,,
4.024,lost,,,,
4.039,lost,,,,
4.052,lost,,,,
4.065,lost,,,,
4.077,lost,,,,
4.092,lost,,,,
4.107,lost,,,,
4.119,lost,,,,
4.131,lost,,,,
4.145,lost,,,,
4.158,lost,,,,
4.171,lost,,,,
4.185,lost,,,,
4.198,lost,,,,
4.210,lost,,,,
4.222,lost,,,,
4.236,lost,,,,
4.250,lost,,,,
4.263,lost,,,,
4.277,lost,,,,
4.292,lost,,,,
4.305,lost,,,,
4.317,lost,,,,
4.331,lost,,,,
4.344,lost,,,,
4.359,lost,,,,
4.373,lost,,,,
4.385,lost,,,,
4.399,lost,,,,
4.415,lost,,,,
4.427,lost,,,,
4.439,lost,,,,
4.451,lost,,,,
4.464,lost,,,,
4.477,lost,,,,
4.488,lost,,,,
4.500,lost,,,,
4.514,lost,,,,
4.529,lost,,,,
