elapsed_s,event,body_x,body_y,dist,tags_used
2.458,lost,,,,
2.508,lost,,,,
2.524,lost,,,,
2.540,lost,,,,
2.554,lost,,,,
2.568,lost,,,,
2.583,lost,,,,
2.596,lost,,,,
2.608,lost,,,,
2.620,lost,,,,
2.633,lost,,,,
2.648,lost,,,,
2.660,lost,,,,
2.673,lost,,,,
2.687,lost,,,,
2.700,lost,,,,
2.714,lost,,,,
2.726,lost,,,,
2.736,lost,,,,
2.750,lost,,,,
2.763,lost,,,,
2.775,lost,,,,
2.787,lost,,,,
2.800,lost,,,,
2.812,lost,,,,
2.823,lost,,,,
2.836,lost,,,,
2.849,lost,,,,
2.861,lost,,,,
2.873,lost,,,,
2.885,lost,,,,
2.900,lost,,,,
2.913,lost,,,,
2.925,lost,,,,
2.939,lost,,,,
2.955,lost,,,,
2.968,lost,,,,
2.982,lost,,,,
2.995,lost,,,,
3.008,lost,,,,
3.020,lost,,,,
3.033,lost,,,,
3.047,lost,,,,
3.059,lost,,,,
3.072,lost,,,,
3.086,lost,,,,
3.102,lost,,,,
3.115,lost,,,,
3.129,lost,,,,
3.144,lost,,,,
3.156,lost,,,,
3.171,lost,,,,
3.187,lost,,,,
3.205,lost,,,,
3.221,lost,,,,
3.236,lost,,,,
3.249,lost,,,,
3.262,lost,,,,
3.279,lost,,,,
3.293,lost,,,,
3.309,lost,,,,
3.323,lost,,,,
3.336,lost,,,,
3.350,lost,,,,
3.364,lost,,,,
3.376,lost,,,,
3.389,lost,,,,
3.403,lost,,,,
3.419,lost,,,,
3.432,lost,,,,
3.444,lost,,,,
3.460,lost,,,,
3.473,lost,,,,
3.486,lost,,,,
3.498,lost,,,,
3.513,lost,,,,
3.528,lost,,,,
3.540,lost,,,,
3.552,lost,,,,
3.567,lost,,,,
3.581,lost,,,,
3.593,lost,,,,
3.605,lost,,,,
3.620,lost,,,,
3.634,lost,,,,
3.649,lost,,,,
3.661,lost,,,,
3.675,lost,,,,
3.690,lost,,,,
3.703,lost,,,,
3.716,lost,,,,
3.730,lost,,,,
3.742,lost,,,,
3.754,lost,,,,
3.769,lost,,,,
3.784,lost,,,,
3.797,lost,,,,
3.810,lost,,,,
3.828,lost,,,,
3.841,lost,,,,
3.854,lost,,,,
3.866,lost,,,,
3.880,lost,,,,
3.894,lost,,,,
3.907,lost,,,,
3.919,lost,,,,
3.934,lost,,,,
3.950,lost,,,,
3.962,lost,,,,
3.975,lost,,,,
3.989,lost,,,,
4.002,lost,,,,
4.016,lost,,,,
4.031,lost,,,,
4.044,lost,,,,
4.057,lost,,,,
4.070,lost,,,,
4.086,lost,,,,
4.098,lost,,,,
4.112,lost,,,,
4.127,lost,,,,
4.141,lost,,,,
4.153,lost,,,,
4.165,lost,,,,
4.180,lost,,,,
4.195,lost,,,,
4.209,lost,,,,
4.222,lost,,,,
4.236,lost,,,,
4.250,lost,,,,
4.264,lost,,,,
4.276,lost,,,,
4.290,lost,,,,
4.305,lost,,,,
