elapsed_s,event,body_x,body_y,dist,tags_used
8.233,lost,,,,
8.282,lost,,,,
8.298,lost,,,,
8.315,lost,,,,
8.330,lost,,,,
8.341,lost,,,,
8.356,lost,,,,
8.371,lost,,,,
8.385,lost,,,,
8.398,lost,,,,
8.414,lost,,,,
8.427,lost,,,,
8.441,lost,,,,
8.457,lost,,,,
8.471,lost,,,,
8.484,lost,,,,
8.495,lost,,,,
8.507,lost,,,,
8.521,lost,,,,
8.534,lost,,,,
8.545,lost,,,,
8.558,lost,,,,
8.571,lost,,,,
8.584,lost,,,,
8.596,lost,,,,
8.610,lost,,,,
8.624,lost,,,,
8.636,lost,,,,
8.650,lost,,,,
8.663,lost,,,,
8.675,lost,,,,
8.687,lost,,,,
8.700,lost,,,,
8.714,lost,,,,
8.727,lost,,,,
8.739,lost,,,,
8.753,lost,,,,
8.767,lost,,,,
8.780,lost,,,,
8.791,lost,,,,
8.803,lost,,,,
8.818,lost,,,,
8.831,lost,,,,
8.843,lost,,,,
8.856,lost,,,,
8.869,lost,,,,
8.883,lost,,,,
8.896,lost,,,,
8.909,lost,,,,
8.922,lost,,,,
8.934,lost,,,,
8.946,lost,,,,
8.960,lost,,,,
8.974,lost,,,,
8.988,lost,,,,
9.005,lost,,,,
9.020,lost,,,,
9.036,lost,,,,
9.055,lost,,,,
9.070,lost,,,,
9.084,lost,,,,
9.096,lost,,,,
9.109,lost,,,,
9.124,lost,,,,
9.137,lost,,,,
9.150,lost,,,,
9.164,lost,,,,
9.179,lost,,,,
9.192,lost,,,,
9.204,lost,,,,
9.218,lost,,,,
9.231,lost,,,,
9.242,lost,,,,
9.254,lost,,,,
9.269,lost,,,,
9.282,lost,,,,
9.295,lost,,,,
9.307,lost,,,,
9.323,lost,,,,
9.336,lost,,,,
9.349,lost,,,,
9.362,lost,,,,
9.376,lost,,,,
9.389,lost,,,,
9.402,lost,,,,
9.416,lost,,,,
9.431,lost,,,,
9.443,lost,,,,
9.455,lost,,,,
9.469,lost,,,,
9.484,lost,,,,
9.497,lost,,,,
9.509,lost,,,,
9.523,lost,,,,
9.538,lost,,,,
9.551,lost,,,,
9.563,lost,,,,
9.578,lost,,,,
9.592,lost,,,,
9.605,lost,,,,
9.619,lost,,,,
9.634,lost,,,,
9.647,lost,,,,
9.659,lost,,,,
9.673,lost,,,,
9.687,lost,,,,
9.700,lost,,,,
9.713,lost,,,,
9.727,lost,,,,
9.740,lost,,,,
9.753,lost,,,,
9.766,lost,,,,
9.781,lost,,,,
9.795,lost,,,,
9.808,lost,,,,
9.819,lost,,,,
9.832,lost,,,,
9.848,lost,,,,
9.859,lost,,,,
9.872,lost,,,,
9.886,lost,,,,
9.900,lost,,,,
9.914,lost,,,,
9.928,lost,,,,
9.942,lost,,,,
9.955,lost,,,,
9.969,lost,,,,
9.984,lost,,,,
9.997,lost,,,,
10.009,lost,,,,
10.021,lost,,,,
10.035,lost,,,,
10.049,lost,,,,
10.062,lost,,,,
10.074,lost,,,,
10.087,lost,,,,
10.100,lost,,,,
10.113,lost,,,,
10.124,lost,,,,
10.138,lost,,,,
10.153,lost,,,,
10.166,lost,,,,
10.179,lost,,,,
10.192,lost,,,,
10.204,lost,,,,
10.217,lost,,,,
10.231,lost,,,,
10.245,lost,,,,
10.257,lost,,,,
10.271,lost,,,,
10.285,lost,,,,
10.298,lost,,,,
10.311,lost,,,,
10.324,lost,,,,
10.338,lost,,,,
10.353,lost,,,,
10.367,lost,,,,
10.379,lost,,,,
10.394,lost,,,,
10.408,lost,,,,
10.421,lost,,,,
10.435,lost,,,,
10.450,lost,,,,
10.464,lost,,,,
10.476,lost,,,,
10.487,lost,,,,
10.505,lost,,,,
10.517,lost,,,,
10.530,lost,,,,
10.543,lost,,,,
10.557,lost,,,,
10.570,lost,,,,
10.582,lost,,,,
10.597,lost,,,,
10.609,lost,,,,
10.621,lost,,,,
10.635,lost,,,,
10.650,lost,,,,
10.663,lost,,,,
10.675,lost,,,,
10.687,lost,,,,
10.704,lost,,,,
10.716,lost,,,,
10.728,lost,,,,
10.742,lost,,,,
10.756,lost,,,,
10.769,lost,,,,
10.782,lost,,,,
10.796,lost,,,,
10.808,lost,,,,
10.820,lost,,,,
10.834,lost,,,,
10.850,lost,,,,
10.862,lost,,,,
10.874,lost,,,,
10.887,lost,,,,
10.902,lost,,,,
10.917,lost,,,,
10.929,lost,,,,
10.942,lost,,,,
10.957,lost,,,,
10.970,lost,,,,
10.983,lost,,,,
10.997,lost,,,,
11.011,lost,,,,
11.024,lost,,,,
11.038,lost,,,,
11.052,lost,,,,
11.069,lost,,,,
11.085,lost,,,,
11.101,lost,,,,
11.116,lost,,,,
11.129,lost,,,,
11.143,lost,,,,
11.156,lost,,,,
11.169,lost,,,,
11.185,lost,,,,
11.198,lost,,,,
11.211,lost,,,,
11.225,lost,,,,
11.239,lost,,,,
11.252,lost,,,,
11.267,lost,,,,
11.282,lost,,,,
11.294,lost,,,,
11.307,lost,,,,
11.321,lost,,,,
11.336,lost,,,,
11.348,lost,,,,
11.360,lost,,,,
11.371,lost,,,,
11.387,lost,,,,
