elapsed_s,event,body_x,body_y,dist,tags_used
6.216,lost,,,,
6.262,lost,,,,
6.279,lost,,,,
6.293,lost,,,,
6.307,lost,,,,
6.321,lost,,,,
6.335,lost,,,,
6.346,lost,,,,
6.359,lost,,,,
6.373,lost,,,,
6.386,lost,,,,
6.398,lost,,,,
6.410,lost,,,,
6.425,lost,,,,
6.437,lost,,,,
6.450,lost,,,,
6.464,lost,,,,
6.476,lost,,,,
6.488,lost,,,,
6.501,lost,,,,
6.514,lost,,,,
6.527,lost,,,,
6.540,lost,,,,
6.552,lost,,,,
6.566,lost,,,,
6.578,lost,,,,
6.590,lost,,,,
6.603,lost,,,,
6.617,lost,,,,
6.629,lost,,,,
6.640,lost,,,,
6.653,lost,,,,
6.667,lost,,,,
6.679,lost,,,,
6.691,lost,,,,
6.703,lost,,,,
6.716,lost,,,,
6.727,lost,,,,
6.739,lost,,,,
6.753,lost,,,,
6.767,lost,,,,
6.778,lost,,,,
6.789,lost,,,,
6.803,lost,,,,
6.818,lost,,,,
6.829,lost,,,,
6.841,lost,,,,
6.855,lost,,,,
6.868,lost,,,,
6.879,lost,,,,
6.892,lost,,,,
6.907,lost,,,,
6.919,lost,,,,
6.930,lost,,,,
6.942,lost,,,,
6.958,lost,,,,
6.973,lost,,,,
6.988,lost,,,,
7.005,lost,,,,
7.024,lost,,,,
7.040,lost,,,,
7.056,lost,,,,
7.072,lost,,,,
7.087,lost,,,,
7.099,lost,,,,
7.113,lost,,,,
7.126,lost,,,,
7.139,lost,,,,
7.152,lost,,,,
7.167,lost,,,,
7.182,lost,,,,
7.194,lost,,,,
7.206,lost,,,,
7.219,lost,,,,
7.235,lost,,,,
7.247,lost,,,,
7.258,lost,,,,
7.272,lost,,,,
7.287,lost,,,,
7.298,lost,,,,
7.311,lost,,,,
7.326,lost,,,,
7.341,lost,,,,
7.355,lost,,,,
7.369,lost,,,,
7.384,lost,,,,
7.397,lost,,,,
7.410,lost,,,,
7.422,lost,,,,
7.437,lost,,,,
